,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-03-23,96.633940950456,91.53802810298171,100.52518142952678,96.633940950456,96.633940950456,-0.6154982767837556,-0.6154982767837556,-0.6154982767837556,-0.6154982767837556,-0.6154982767837556,-0.6154982767837556,0.0,0.0,0.0,96.01844267367224
1,2023-03-24,96.94167742166186,91.64667644004227,101.59561022591141,96.94167742166186,96.94167742166186,-0.023446273757747604,-0.023446273757747604,-0.023446273757747604,-0.023446273757747604,-0.023446273757747604,-0.023446273757747604,0.0,0.0,0.0,96.91823114790412
2,2023-03-27,97.86488683527945,93.05717664701672,102.5028105809847,97.86488683527945,97.86488683527945,-0.07832600151959075,-0.07832600151959075,-0.07832600151959075,-0.07832600151959075,-0.07832600151959075,-0.07832600151959075,0.0,0.0,0.0,97.78656083375986
3,2023-03-28,98.17262330648533,93.33265867325112,101.99494260218731,98.17262330648533,98.17262330648533,-0.4125901877762042,-0.4125901877762042,-0.4125901877762042,-0.4125901877762042,-0.4125901877762042,-0.4125901877762042,0.0,0.0,0.0,97.76003311870913
4,2023-03-29,98.48035977769119,92.61499154467116,102.10345245583628,98.48035977769119,98.48035977769119,-0.7869700710842578,-0.7869700710842578,-0.7869700710842578,-0.7869700710842578,-0.7869700710842578,-0.7869700710842578,0.0,0.0,0.0,97.69338970660694
5,2023-03-30,98.78809624889705,93.61858608944664,102.82924889921962,98.78809624889705,98.78809624889705,-0.615498276785348,-0.615498276785348,-0.615498276785348,-0.615498276785348,-0.615498276785348,-0.615498276785348,0.0,0.0,0.0,98.1725979721117
6,2023-03-31,99.0958327201029,94.51087180211395,103.84520008390636,99.0958327201029,99.0958327201029,-0.023446273756064097,-0.023446273756064097,-0.023446273756064097,-0.023446273756064097,-0.023446273756064097,-0.023446273756064097,0.0,0.0,0.0,99.07238644634684
7,2023-04-03,100.01904206645858,95.17342321849466,104.58389634035301,100.01904206645858,100.01904206645858,-0.07832600152029773,-0.07832600152029773,-0.07832600152029773,-0.07832600152029773,-0.07832600152029773,-0.07832600152029773,0.0,0.0,0.0,99.94071606493829
8,2023-04-04,100.32677851524382,95.06815687215163,104.31536697635889,100.32677851524382,100.32677851524382,-0.4125901877764471,-0.4125901877764471,-0.4125901877764471,-0.4125901877764471,-0.4125901877764471,-0.4125901877764471,0.0,0.0,0.0,99.91418832746737
9,2023-04-05,100.63451496402904,95.00262074091113,104.60270527915374,100.63451496402904,100.63451496402904,-0.7869700710842992,-0.7869700710842992,-0.7869700710842992,-0.7869700710842992,-0.7869700710842992,-0.7869700710842992,0.0,0.0,0.0,99.84754489294474
10,2023-04-06,100.94225141281426,95.38501990092924,104.66838155733056,100.94225141281426,100.94225141281426,-0.6154982767847139,-0.6154982767847139,-0.6154982767847139,-0.6154982767847139,-0.6154982767847139,-0.6154982767847139,0.0,0.0,0.0,100.32675313602954
11,2023-04-10,102.17319720795516,97.47258046741494,106.71092510111669,102.17319720795516,102.17319720795516,-0.07832600152060448,-0.07832600152060448,-0.07832600152060448,-0.07832600152060448,-0.07832600152060448,-0.07832600152060448,0.0,0.0,0.0,102.09487120643455
12,2023-04-11,102.48093365674039,97.50521275095926,106.95798353333633,102.48093365674039,102.48093365674039,-0.41259018777654766,-0.41259018777654766,-0.41259018777654766,-0.41259018777654766,-0.41259018777654766,-0.41259018777654766,0.0,0.0,0.0,102.06834346896385
13,2023-04-12,102.78867010634711,97.30723951522033,106.6549868172324,102.78867010634711,102.78867010634711,-0.7869700710843409,-0.7869700710843409,-0.7869700710843409,-0.7869700710843409,-0.7869700710843409,-0.7869700710843409,0.0,0.0,0.0,102.00170003526277
14,2023-04-13,103.09640655595382,97.81492765998433,107.14516911561934,103.09640655595382,103.09640655595382,-0.615498276785203,-0.615498276785203,-0.615498276785203,-0.615498276785203,-0.615498276785203,-0.615498276785203,0.0,0.0,0.0,102.48090827916862
